path_id,from_id,to_id,transport_id,price_min_EUR,duration_min,num_transfers
80001,8,10,1,230,830,2
80003,8,116,1,150,605,1
80004,8,111,1,190,460,1
80005,8,172,1,190,440,1
80006,8,293,1,160,365,0
80007,8,166,1,467,515,1
80008,8,184,1,262,525,1
80009,8,101,1,285,525,1
80010,8,264,1,205,585,1
80011,8,203,1,228,655,1
80012,8,243,1,239,505,1
80013,8,247,1,160,415,1
80014,8,266,1,190,415,1
80015,8,174,1,140,330,0
80016,8,202,1,380,395,1
80017,8,207,1,110,195,0
80018,8,104,1,120,355,1
80022,8,106,1,310,520,1
80023,8,249,1,470,540,1
80024,8,107,1,134,545,2
80026,8,147,1,161,440,1
80027,8,108,1,174,530,2
80028,8,196,1,174,330,0
80029,8,130,1,180,420,1
80030,8,109,1,270,710,2
80031,8,11,1,322,530,1
80032,8,161,1,170,460,1
80033,8,112,1,143,360,1
80034,8,114,1,124,270,1
80035,8,113,1,86,165,0
80037,8,115,1,182,505,1
80038,8,175,1,213,535,1
80041,8,349,1,129,325,1
80042,8,118,1,184,505,1
80043,8,368,1,193,475,1
80044,8,310,1,147,365,1
80045,8,135,1,110,240,0
80047,8,119,1,274,590,1
80056,8,120,1,212,525,1
80057,8,122,1,212,575,1
80060,8,124,1,160,420,1
80061,8,160,1,180,460,1
80065,8,246,1,276,575,1
80067,8,129,1,220,555,1
80068,8,13,1,304,155,0
80069,8,177,1,210,560,1
80071,8,252,1,140,330,0
80072,8,131,1,306,610,1
80073,8,132,1,289,645,2
80074,8,134,1,156,385,1
80076,8,348,1,138,275,0
80077,8,123,1,156,375,1
80078,8,137,1,248,515,1
80084,8,14,1,420,760,1
80089,8,145,1,190,340,0
80091,8,146,1,310,510,1
80092,8,331,1,130,445,1
80093,8,15,1,432,435,1
80094,8,150,1,250,635,1
80095,8,162,1,200,515,1
80096,8,151,1,350,510,1
80097,8,275,1,190,590,1
80098,8,152,1,230,445,1
80099,8,153,1,110,440,1
80101,8,154,1,310,675,1
80102,8,192,1,180,455,1
80103,8,370,1,160,435,1
80104,8,222,1,228,550,1
80105,8,197,1,170,440,1
80106,8,16,1,401,765,1
80107,8,297,1,170,410,1
80109,8,164,1,196,380,1
80110,8,343,1,170,365,1
80111,8,225,1,51,510,1
80113,8,126,1,188,450,1
80114,8,17,1,221,105,0
80115,8,171,1,152,525,2
80116,8,336,1,165,370,1
80119,8,245,1,170,495,1
80120,8,176,1,200,670,1
80121,8,227,1,140,660,1
80122,8,228,1,120,690,1
80123,8,287,1,290,570,1
80124,8,178,1,227,715,2
80125,8,325,1,236,620,1
80126,8,179,1,410,675,1
80128,8,321,1,300,550,1
80129,8,18,1,313,490,1
80130,8,180,1,350,680,1
80134,8,183,1,193,650,2
80136,8,186,1,290,665,1
80137,8,342,1,220,535,1
80143,8,191,1,213,555,1
80145,8,240,1,162,455,1
80146,8,193,1,210,485,1
80148,8,194,1,294,610,2
80150,8,20,1,359,360,1
80151,8,200,1,240,455,1
80153,8,345,1,150,500,1
80154,8,308,1,180,440,1
80156,8,215,1,146,585,1
80157,8,205,1,210,510,1
80158,8,284,1,220,505,1
80159,8,206,1,148,310,1
80161,8,329,1,166,480,1
80164,8,181,1,210,550,1
80166,8,316,1,170,420,1
80167,8,356,1,138,455,1
80168,8,305,1,138,445,1
80170,8,214,1,139,420,1
80171,8,213,1,213,570,1
80176,8,277,1,230,505,1
80177,8,218,1,276,955,2
80178,8,219,1,260,690,1
80179,8,233,1,160,440,1
80181,8,23,1,267,470,1
80182,8,267,1,160,455,1
80183,8,230,1,230,650,1
80184,8,231,1,85,445,1
80185,8,289,1,202,700,2
80186,8,235,1,248,545,1
80187,8,24,1,402,480,1
80190,8,242,1,149,615,2
80191,8,159,1,85,430,1
80192,8,248,1,190,535,1
80193,8,25,1,129,470,1
80194,8,250,1,470,555,1
80196,8,253,1,180,440,1
80198,8,259,1,180,450,1
80199,8,270,1,160,450,1
80200,8,140,1,190,445,1
80201,8,261,1,240,725,1
80202,8,263,1,353,585,2
80203,8,265,1,376,615,2
80204,8,303,1,150,320,0
80205,8,268,1,110,360,1
80206,8,269,1,200,515,1
80207,8,27,1,359,735,1
80208,8,274,1,200,675,1
80209,8,330,1,147,405,1
80210,8,323,1,129,425,1
80214,8,28,1,212,70,0
80215,8,280,1,129,735,1
80216,8,309,1,156,370,1
80218,8,285,1,220,445,1
80219,8,286,1,190,755,2
80221,8,29,1,156,395,1
80223,8,290,1,440,825,1
80224,8,291,1,240,570,1
80227,8,236,1,131,475,1
80228,8,353,1,157,395,1
80230,8,294,1,196,440,1
80234,8,163,1,156,300,1
80235,8,257,1,156,340,1
80236,8,299,1,184,560,1
80237,8,300,1,184,640,1
80238,8,209,1,367,540,1
80239,8,307,1,219,715,2
80240,8,31,1,83,330,1
80241,8,142,1,262,600,2
80242,8,314,1,160,600,1
80243,8,365,1,171,555,1
80244,8,364,1,192,435,1
80245,8,317,1,160,455,1
80246,8,318,1,90,670,1
80247,8,352,1,230,505,1
80248,8,32,1,221,250,1
80249,8,320,1,240,635,1
80250,8,546,1,138,365,1
80251,8,327,1,144,570,1
80252,8,33,1,193,210,1
80253,8,295,1,156,340,1
80255,8,332,1,138,710,1
80257,8,334,1,190,605,1
80258,8,335,1,210,540,1
80259,8,337,1,400,840,2
80260,8,338,1,166,580,1
80261,8,339,1,158,305,1
80262,8,34,1,212,85,0
80263,8,340,1,220,755,2
80264,8,341,1,230,630,2
80265,8,201,1,166,490,1
80268,8,347,1,350,605,2
80269,8,35,1,41,90,0
80270,8,351,1,285,500,1
80271,8,128,1,193,345,0
80272,8,105,1,129,660,1
80273,8,354,1,210,545,1
80274,8,357,1,92,345,1
80275,8,359,1,280,635,2
80277,8,36,1,552,1790,3
80278,8,362,1,200,495,1
80279,8,127,1,440,485,1
80280,8,367,1,260,695,2
80281,8,369,1,230,555,1
80283,8,37,1,506,1105,1
80284,8,371,1,239,345,1
80286,8,41,1,598,1025,1
80287,8,38,1,506,1255,2
80288,8,39,1,598,1120,1
80289,8,40,1,920,1110,1
80291,8,42,1,460,920,1
80292,8,43,1,398,700,1
80293,8,44,1,196,240,1
80294,8,45,1,202,290,1
80295,8,48,1,414,755,2
80296,8,51,1,345,685,1
80298,8,89,1,379,925,1
80299,8,96,1,307,610,1
80300,8,53,1,615,815,2
80301,8,547,1,175,520,1
80302,8,548,1,248,635,1
80304,8,55,1,166,460,1
80306,8,550,1,191,615,1
80307,8,93,1,224,230,0
80308,8,56,1,146,465,1
80309,8,552,1,325,400,1
80310,8,553,1,146,800,1
80311,8,554,1,123,700,1
80312,8,57,1,224,460,1
80313,8,58,1,193,415,1
80314,8,59,1,281,390,0
80316,8,85,1,281,465,0
80318,8,92,1,361,525,0
80319,8,61,1,414,735,1
80320,8,62,1,613,985,1
80321,8,626,1,168,445,1
80322,8,63,1,375,910,1
80324,8,64,1,690,1235,1
80325,8,65,1,650,1330,2
80326,8,66,1,191,415,1
80327,8,663,1,506,1005,1
80329,8,67,1,294,585,1
80330,8,90,1,321,570,1
80331,8,68,1,313,680,1
80332,8,69,1,60,130,0
80333,8,95,1,208,115,0
80335,8,70,1,687,1725,2
80336,8,71,1,437,800,1
80337,8,72,1,673,1010,1
80338,8,73,1,612,1080,1
80339,8,74,1,396,550,1
80340,8,75,1,334,630,1
80341,8,76,1,307,685,1
80342,8,77,1,304,690,1
80343,8,78,1,110,300,1
80345,8,94,1,355,480,0
80346,8,80,1,338,715,1
80347,8,81,1,294,670,1
80348,8,82,1,307,490,0
80350,8,83,1,313,620,1
80352,8,84,1,245,350,1
80353,8,86,1,221,365,1
80354,8,87,1,331,685,1
80357,8,88,1,350,570,1
80359,8,9,1,129,410,1
80360,8,91,1,168,235,0
80363,8,99,1,386,630,1
80365,8,98,1,348,405,0
80366,8,26,1,92,160,0
90001,9,25,2,20,760,0
90002,9,250,1,650,790,2
90003,9,29,2,29,1650,0
90004,9,337,1,410,915,2
90005,9,36,1,598,1305,1
90006,9,132,1,420,690,2
90007,9,293,1,290,430,0
90010,9,329,1,245,530,1
90013,9,325,1,367,620,1
90014,9,37,1,552,1190,1
90015,9,38,1,598,1040,1
90016,9,39,1,552,1198,1
90017,9,62,1,579,1110,1
90018,9,70,1,916,1375,1
90019,9,10,1,267,810,2
90020,9,116,1,260,580,1
90021,9,111,1,270,580,1
90023,9,161,1,250,570,1
90024,9,101,1,308,625,1
90025,9,166,1,296,600,1
90026,9,203,1,308,745,1
90027,9,184,1,285,615,1
90028,9,243,1,445,640,1
90029,9,264,1,296,690,1
90030,9,247,1,250,530,1
90032,9,266,1,300,635,1
90033,9,308,1,290,610,1
90034,9,103,1,240,615,2
90035,9,331,1,250,480,1
90038,9,104,1,210,455,1
90039,9,351,1,310,700,1
90040,9,105,1,330,630,1
90042,9,128,1,260,610,1
90043,9,106,1,430,795,2
90044,9,249,1,380,655,1
90047,9,147,1,276,570,1
90048,9,108,1,294,505,1
90049,9,193,1,230,645,1
90051,9,127,1,550,485,1
90054,9,107,1,201,730,2
90055,9,196,1,255,490,1
90057,9,303,1,160,570,1
90059,9,109,1,330,970,2
90060,9,11,1,304,655,1
90061,9,112,1,239,525,1
90062,9,114,1,229,445,1
90063,9,113,1,134,285,0
90065,9,115,1,212,770,2
90067,9,316,1,248,585,1
90068,9,252,1,230,430,0
90069,9,175,1,313,675,1
90070,9,349,1,258,485,1
90071,9,207,1,156,315,0
90072,9,117,1,386,680,1
90073,9,118,1,248,665,2
90077,9,119,1,386,690,1
90079,9,120,1,319,630,1
90081,9,122,1,308,715,1
90083,9,311,1,388,795,2
90085,9,225,1,108,675,1
90086,9,142,1,365,760,2
90087,9,123,1,146,510,1
90090,9,126,1,290,600,1
90091,9,197,1,260,600,1
90093,9,13,1,156,375,1
90094,9,131,1,359,605,2
90095,9,134,1,184,455,1
90097,9,309,1,179,455,1
90101,9,136,1,405,700,1
90102,9,137,1,270,690,1
90105,9,297,1,278,495,1
90109,9,368,1,214,510,1
90110,9,14,1,487,815,1
90112,9,370,1,243,570,1
90113,9,174,1,263,415,0
90118,9,146,1,360,630,1
90120,9,15,1,294,570,1
90121,9,150,1,350,680,1
90122,9,162,1,290,605,1
90123,9,318,1,350,725,1
90124,9,151,1,380,680,1
90125,9,275,1,300,695,1
90126,9,267,1,260,545,1
90127,9,152,1,260,540,1
90130,9,154,1,340,670,1
90131,9,192,1,270,570,1
90132,9,259,1,270,610,1
90133,9,140,1,280,620,1
90135,9,335,1,320,650,1
90136,9,224,1,342,835,2
90137,9,194,1,296,895,2
90138,9,165,1,239,635,1
90139,9,16,1,361,605,1
90141,9,160,1,260,715,1
90142,9,163,1,263,470,1
90143,9,164,1,236,540,1
90146,9,167,1,524,1265,2
90147,9,17,1,175,245,0
90148,9,171,1,140,455,1
90149,9,336,1,254,330,0
90152,9,228,1,120,840,1
90155,9,177,1,330,675,1
90156,9,287,1,310,700,1
90157,9,178,1,350,780,2
90158,9,179,1,440,765,1
90159,9,235,1,340,660,1
90160,9,18,1,212,345,1
90161,9,180,1,470,845,1
90164,9,181,1,270,645,1
90166,9,273,1,239,1485,3
90167,9,183,1,248,815,2
90169,9,186,1,400,815,2
90170,9,261,1,360,700,1
90171,9,270,1,250,585,1
90172,9,189,1,310,705,2
90174,9,191,1,235,645,1
90176,9,240,1,243,605,1
90177,9,277,1,294,485,1
90179,9,20,1,64,465,1
90180,9,200,1,290,530,1
90182,9,201,1,250,500,1
90183,9,345,1,220,490,1
90184,9,341,1,330,770,1
90186,9,202,1,248,670,1
90188,9,353,1,248,535,1
90189,9,204,1,226,680,1
90190,9,153,1,200,475,1
90191,9,205,1,290,720,1
90192,9,284,1,310,665,1
90193,9,206,1,263,415,1
90196,9,209,1,210,725,2
90197,9,21,1,83,40,0
90198,9,356,1,248,490,1
90199,9,305,1,230,330,0
90201,9,213,1,128,680,1
90202,9,365,1,213,685,1
90203,9,348,1,277,505,1
90205,9,215,1,220,745,2
90207,9,218,1,310,760,2
90208,9,219,1,390,660,1
90209,9,22,1,101,390,1
90211,9,222,1,353,755,2
90212,9,227,1,500,865,1
90213,9,176,1,550,830,1
90215,9,23,1,267,375,1
90217,9,230,1,360,745,1
90218,9,231,1,220,490,1
90219,9,289,1,267,785,1
90220,9,239,1,330,780,2
90221,9,24,1,259,605,1
