path_id,from_id,to_id,from,to,transport,duration,price,low_limit,predict
1140001,114,112,Antalya,Alanya,bus,150,3,9,9.2
3480002,348,136,Vienna,Bratislava,bus,50,3,4,3.5
2970001,297,160,Prague,Dresden,bus,110,5,7,7.0
2970002,297,216,Prague,Karlovy Vary,bus,100,5,6,6.5
1140002,114,257,Antalya,Milas,bus,390,17,19,21.5
1170001,117,349,Burgas,Varna,bus,125,5,7,7.9
2070002,207,268,Istanbul,Constanta,bus,600,25,28,31.4
3300001,330,276,Tirana,Ohrid,bus,151,5,9,9.3
3230001,323,276,Skopje,Ohrid,bus,210,7,11,12.4
2070003,207,280,Istanbul,Plovdiv,bus,360,15,18,20.0
1600002,160,297,Dresden,Prague,bus,110,5,7,7.0
3300003,330,323,Tirana,Skopje,bus,315,12,16,17.8
1000009,100,225,Antwerp,London,bus,500,11,24,26.8
1000010,100,102,Antwerp,Augsburg,bus,720,24,33,36.9
1000012,100,309,Antwerp,Sofia,bus,2040,70,82,92.6
1000014,100,135,Antwerp,Belgrade,bus,1765,60,72,81.5
2520010,252,109,Milan,Ancona,bus,360,16,18,20.0
1000022,100,308,Antwerp,Salzburg,bus,959,29,42,47.5
1000026,100,309,Antwerp,Sofia,bus,2040,71,82,92.6
3090003,309,207,Sofia,Istanbul,bus,510,21,24,27.2
1170002,117,207,Burgas,Istanbul,bus,300,10,15,17.0
2070004,207,113,Istanbul,Ankara,bus,405,9,20,22.2
2070005,207,114,Istanbul,Antalya,bus,700,14,32,36.0
3090004,309,207,Sofia,Istanbul,bus,540,20,26,28.6
1000030,100,116,Antwerp,Brussels,bus,60,2,4,4.1
1000031,100,116,Antwerp,Brussels,share,54,2,3,3.7
1360004,136,309,Bratislava,Sofia,bus,662,27,31,34.3
1000032,100,309,Antwerp,Sofia,bus,2040,73,82,92.6
3090006,309,117,Sofia,Burgas,bus,390,14,19,21.5
1000037,100,348,Antwerp,Vienna,bus,1200,37,52,58.0
1000039,100,124,Antwerp,Berlin,bus,780,29,35,39.6
1000040,100,116,Antwerp,Brussels,bus,54,3,4,3.7
1000044,100,135,Antwerp,Belgrade,bus,1765,63,72,81.5
1000046,100,348,Antwerp,Vienna,bus,1200,35,52,58.0
1160118,116,153,Brussels,Cluj-Napoca,bus,1965,77,79,89.6
2070006,207,163,Istanbul,Dalaman,bus,810,21,37,41.0
3090008,309,207,Sofia,Istanbul,bus,570,16,27,30.0
1020003,102,327,Augsburg,Split,bus,880,36,39,44.1
3680005,368,164,Zagreb,Dubrovnik,bus,560,25,27,29.6
1000057,100,310,Antwerp,Sarajevo,bus,1805,68,74,83.1
3100001,310,164,Sarajevo,Dubrovnik,bus,370,13,19,20.5
1000058,100,310,Antwerp,Sarajevo,bus,2055,70,83,93.2
3100002,310,164,Sarajevo,Dubrovnik,bus,375,14,19,20.7
1000061,100,210,Antwerp,Karlsruhe,bus,540,16,26,28.6
1000064,100,225,Antwerp,London,bus,500,12,24,26.8
1720033,172,191,Eindhoven,Gdansk,bus,1140,38,49,55.4
2400005,240,192,Lyon,Geneva,bus,145,5,8,9.0
3090009,309,200,Sofia,Heraklion,bus,1345,55,57,64.1
3090010,309,104,Sofia,Athens,bus,740,24,34,37.8
1000071,100,247,Antwerp,Munich,bus,810,25,37,41.0
1230008,123,204,Budapest,Debrecen,bus,200,9,11,11.9
1360006,136,309,Bratislava,Sofia,bus,662,28,31,34.3
1000072,100,308,Antwerp,Salzburg,bus,959,27,42,47.5
1000074,100,210,Antwerp,Karlsruhe,bus,520,17,25,27.7
1000076,100,213,Antwerp,Katowice,bus,975,40,43,48.2
1000077,100,214,Antwerp,Krakow,bus,1340,49,57,63.9
1160196,116,215,Brussels,Kosice,bus,2404,35,95,107.1
1000079,100,266,Antwerp,Nuremberg,bus,690,21,32,35.6
1000082,100,219,Antwerp,Linz,bus,1050,30,46,51.5
3050002,305,232,Riga,Liepaja,bus,220,1,12,13.0
1160212,116,233,Brussels,Luxembourg,bus,180,7,10,10.9
2930029,293,235,Paris,Lisbon,bus,1475,13,62,69.5
1000087,100,239,Antwerp,Lille,bus,110,4,7,7.0
